epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,3240.1,0.65557,1.18303,0.92265,0.66131,0.67294,0.67039,0.57401,0.55602,0.93069,0.84351,0.000212934,0.000212934,0.000212934
60,3294.39,0.66553,1.16879,0.91702,0.57937,0.73933,0.67986,0.57884,0.56315,0.92304,0.84282,0.000210657,0.000210657,0.000210657
61,3348.65,0.64343,1.12925,0.9169,0.63715,0.70837,0.67939,0.58111,0.56011,0.91156,0.84152,0.00020838,0.00020838,0.00020838
62,3403.05,0.65082,1.15073,0.9157,0.65183,0.72498,0.68894,0.59097,0.54323,0.8897,0.83506,0.000206103,0.000206103,0.000206103
63,3457.31,0.65614,1.11589,0.91473,0.67126,0.69514,0.68467,0.58352,0.55359,0.93197,0.83629,0.000203826,0.000203826,0.000203826
64,3511.41,0.64035,1.10963,0.9138,0.65277,0.70293,0.68139,0.58765,0.53678,0.89668,0.834,0.000201549,0.000201549,0.000201549
65,3565.46,0.65035,1.11506,0.91463,0.67477,0.69874,0.69012,0.59338,0.54986,0.89837,0.83784,0.000199272,0.000199272,0.000199272
66,3619.7,0.64344,1.10811,0.9146,0.67447,0.71572,0.70061,0.59711,0.54919,0.86705,0.83866,0.000196995,0.000196995,0.000196995
67,3673.95,0.6728,1.11723,0.91687,0.58891,0.76025,0.69267,0.59663,0.53417,0.86965,0.83735,0.000194718,0.000194718,0.000194718
68,3728.18,0.64423,1.11032,0.91238,0.69327,0.69203,0.69367,0.59518,0.53501,0.89968,0.83588,0.000192441,0.000192441,0.000192441
69,3782.32,0.63453,1.08877,0.90869,0.69994,0.68742,0.70561,0.60524,0.53858,0.83743,0.83885,0.000190164,0.000190164,0.000190164
70,3836.62,0.6516,1.12608,0.91219,0.65325,0.72103,0.70431,0.60232,0.55395,0.87257,0.83904,0.000187887,0.000187887,0.000187887
71,3890.59,0.65379,1.12492,0.91384,0.67447,0.71137,0.6933,0.59415,0.55445,0.85646,0.8375,0.00018561,0.00018561,0.00018561
72,3944.86,0.64743,1.09247,0.91584,0.70404,0.69603,0.70631,0.60852,0.53397,0.85874,0.83398,0.000183333,0.000183333,0.000183333
